Date	Time	Trainig/Test	Event ID	Title	Link	Abstract
05.02.2019	18:45:44	Training	1	New dog food recall and latest warning on grain-free foods #SmartNews	https://twitter.com/tweet/status/1092857075753861125	New dog food recall and latest warning on grain-free foods #SmartNews https://t.co/nS49e7r63l
05.02.2019	06:29:38	Training	1	New Dog Food Recall And The Latest Warning On Grain-Free Foods... https://t.co/brx3qW4t4L	https://twitter.com/tweet/status/1092671572400373760	New Dog Food Recall And The Latest Warning On Grain-Free Foods... https://t.co/brx3qW4t4L https://t.co/5XcIAt9g4p
05.02.2019	18:40:20	Training	1	RT @BaybeeReade: Another dog food recall over dangerous levels of vitamin D - Fox News	https://twitter.com/tweet/status/1092855599233150977	RT @BaybeeReade: Another dog food recall over dangerous levels of vitamin D - Fox News https://t.co/z0w17ubVay
04.02.2019	22:05:19	Training	1	Hill’s Pet Nutrition voluntary recall affects canned food sold in Australia: Full list	https://twitter.com/tweet/status/1092544879400570887	Hill’s Pet Nutrition voluntary recall affects canned food sold in Australia: Full list https://t.co/h3dXnou7wC
05.02.2019	08:53:45	Training	1	RT @mercnews: New dog food recall and the latest warning on grain-free foods	https://twitter.com/tweet/status/1092707841809408000	RT @mercnews: New dog food recall and the latest warning on grain-free foods https://t.co/GPdPrm9xI4
05.02.2019	23:54:49	Training	1	ICYMI #Recall Alert for Dog Food	https://twitter.com/tweet/status/1092934601130033154	ICYMI #Recall Alert for Dog Food https://t.co/K3Y6dhGUbq
05.02.2019	15:39:35	Training	1	Another Big Dog Food Recall	https://twitter.com/tweet/status/1092809970645651457	Another Big Dog Food Recall https://t.co/ycE550VFSp
05.02.2019	01:10:27	Training	1	Canned Dog Food recall alert! Science Diet has done a voluntary recall of 25 varieties of their canned dog foods. S…	https://twitter.com/tweet/status/1092591354918649856	Canned Dog Food recall alert! Science Diet has done a voluntary recall of 25 varieties of their canned dog foods. S… https://t.co/9FIuqsKpUy
05.02.2019	20:03:36	Training	1	@Al_Martell Great question, the voluntary recall only affects select canned dog food products. No dry foods, cat fo…	https://twitter.com/tweet/status/1092876415299661824	@Al_Martell Great question, the voluntary recall only affects select canned dog food products. No dry foods, cat fo… https://t.co/NLKEYhOicq
05.02.2019	21:13:25	Training	1	Another dog food recall, this time over concerns about Vitamin D #CSRA	https://twitter.com/tweet/status/1092893985734045703	Another dog food recall, this time over concerns about Vitamin D #CSRA https://t.co/tfcjEiaozy
06.02.2019	14:30:17	Training	1	RT @NationwidePet: Recall alert: Find out why Hill’s Pet Nutrition has voluntarily recalled select canned dog food and how you can reach Hi…	https://twitter.com/tweet/status/1093155010190295045	RT @NationwidePet: Recall alert: Find out why Hill’s Pet Nutrition has voluntarily recalled select canned dog food and how you can reach Hi…
05.02.2019	22:36:27	Training	1	@MomsAgainstGMOs Hill's dog food recall: Pet owners blame Hills for dogs' deaths - The ...	https://twitter.com/tweet/status/1092914878455648256	@MomsAgainstGMOs Hill's dog food recall: Pet owners blame Hills for dogs' deaths - The ... https://t.co/CgpMTTmmrv... 19 hours ago
06.02.2019	15:10:19	Training	1	RT @GottaLaff: Another recall >>Dog food recall: How high levels of vitamin D can be deadly for pets	https://twitter.com/tweet/status/1093165152701239297	RT @GottaLaff: Another recall >>Dog food recall: How high levels of vitamin D can be deadly for pets https://t.co/NkmyxWumFk
06.02.2019	06:22:09	Training	1	Hill's Pet Nutrition Issues Voluntary Recall of Select Canned Dog Food Due to Excessive Vitamin D	https://twitter.com/tweet/status/1093032077149306881	Hill's Pet Nutrition Issues Voluntary Recall of Select Canned Dog Food Due to Excessive Vitamin D https://t.co/YAOEIKR47U
06.02.2019	15:59:20	Training	1	RECALL ALERT: Hills recalls 20 types of canned dog food for excessive Vitamin D which can be harmful. https://www.h…	https://twitter.com/tweet/status/1093177328652484611	RECALL ALERT: Hills recalls 20 types of canned dog food for excessive Vitamin D which can be harmful. https://www.h… https://t.co/PkDt9dr6XR
05.02.2019	17:58:45	Training	1	DOG FOOD RECALL: Hill's Pet Nutrition has recalled select canned dog food products due to excessive vitamin D, whic…	https://twitter.com/tweet/status/1092844994270908416	DOG FOOD RECALL: Hill's Pet Nutrition has recalled select canned dog food products due to excessive vitamin D, whic… https://t.co/Q690HmV3LU
05.02.2019	19:32:56	Training	1	Another dog food recall over dangerous levels of vitamin D #DogFood	https://twitter.com/tweet/status/1092868694735290368	Another dog food recall over dangerous levels of vitamin D #DogFood https://t.co/SUbXv7Lr3W
05.02.2019	15:03:16	Training	1	Science Diet dog food recall	https://twitter.com/tweet/status/1092800833517948929	Science Diet dog food recall https://t.co/Nbn7Y600w3
05.02.2019	23:53:36	Training	1	RT @BuyDirectUSA: Dog food recall of Hill's Pet Nutrition: Vitamin D levels may be toxic	https://twitter.com/tweet/status/1092934294434131968	RT @BuyDirectUSA: Dog food recall of Hill's Pet Nutrition: Vitamin D levels may be toxic https://t.co/8PtF1IPtnY #recalls #pets #dogs #plea…
06.02.2019	23:18:44	Training	1	USA TODAY: Dog food recall: How high levels of vitamin D can be toxic for pets.	https://twitter.com/tweet/status/1093287909858385921	USA TODAY: Dog food recall: How high levels of vitamin D can be toxic for pets. https://t.co/DUWKG3I8tT via @GoogleNews
06.02.2019	02:27:49	Training	1	Another dog food recall over dangerous levels of vitamin D - Fox News Update	https://twitter.com/tweet/status/1092973104299757569	Another dog food recall over dangerous levels of vitamin D - Fox News Update https://t.co/hZMMTXOv3K
06.02.2019	19:18:17	Training	1	#Important Dog food recall: How high levels of vitamin D can be toxic for pets	https://twitter.com/tweet/status/1093227396675837957	#Important Dog food recall: How high levels of vitamin D can be toxic for pets https://t.co/z7vi1v3Mxt via @usatoday
06.02.2019	18:13:39	Training	1	?? Dog food #recall: How high levels of vitamin D can be toxic for pets	https://twitter.com/tweet/status/1093211133056557059	?? Dog food #recall: How high levels of vitamin D can be toxic for pets https://t.co/gYgPO3qb7i via @usatoday
06.02.2019	05:55:51	Training	1	Another dog food recall over dangerous levels of vitamin D - LOTS More than I/d	https://twitter.com/tweet/status/1093025457589473281	Another dog food recall over dangerous levels of vitamin D - LOTS More than I/d https://t.co/we6wmqhCjz
05.02.2019	18:33:18	Training	1	RT @laurenweinstein: DOG FOOD RECALL: Dog illnesses and deaths reportedly linked to excess Vitamin D in Hill’s Pet Nutrition “Prescription…	https://twitter.com/tweet/status/1092853690787082240	RT @laurenweinstein: DOG FOOD RECALL: Dog illnesses and deaths reportedly linked to excess Vitamin D in Hill’s Pet Nutrition “Prescription…
07.02.2019	01:05:06	Training	1	Hill's dog food recall: Pet owners blame Hills for dogs' deaths -	https://twitter.com/tweet/status/1093314677768114177	Hill's dog food recall: Pet owners blame Hills for dogs' deaths - https://t.co/niRBR5NfBp
06.02.2019	11:46:48	Training	1	Dog food recall: Hill’s Pet Nutrition food may contain dangerous levels of vitamin D	https://twitter.com/tweet/status/1093113777560666112	Dog food recall: Hill’s Pet Nutrition food may contain dangerous levels of vitamin D https://t.co/xWV1UDygar
06.02.2019	19:10:11	Training	1	Voluntary recall for select Hill's canned dog food. Check out the link to see if you were impacted.…	https://twitter.com/tweet/status/1093225360790077440	Voluntary recall for select Hill's canned dog food. Check out the link to see if you were impacted.… https://t.co/gD8O4eGrHD
05.02.2019	17:59:41	Training	1	RT @kron4news: DOG FOOD RECALL: Hill's Pet Nutrition has recalled select canned dog food products due to excessive vitamin D, which can be…	https://twitter.com/tweet/status/1092845231295229952	RT @kron4news: DOG FOOD RECALL: Hill's Pet Nutrition has recalled select canned dog food products due to excessive vitamin D, which can be…
05.02.2019	18:10:17	Training	1	Dog food recall: Hill's Pet Nutrition food may contain dangerous levels of vitamin D - USA TODAY…	https://twitter.com/tweet/status/1092848101390315520	Dog food recall: Hill's Pet Nutrition food may contain dangerous levels of vitamin D - USA TODAY… https://t.co/9rnvva63fx
